path,sentence
common_voice_id_34597896.wav,sepatu ini tua
common_voice_id_23920010.wav,dua
common_voice_id_23920012.wav,sembilan
common_voice_id_25211470.wav,besok saya akan pergi menonton film bersama teman
common_voice_id_25211471.wav,pak tanaka minum cocacola
common_voice_id_35199392.wav,jangan marah mohon bersabar ini hanya ujian
common_voice_id_35199396.wav,tom terlihat mengerti apa yang saya katakan
common_voice_id_35328731.wav,orkestra adalah kelompok musisi yang memainkan alat musik bersama
common_voice_id_35328735.wav,ini yang kulakukan untuk hidup
common_voice_id_25141757.wav,aku sakit
common_voice_id_25141759.wav,semangat untuk hari ini
common_voice_id_32820773.wav,jangan marah mohon bersabar ini hanya ujian
common_voice_id_32820774.wav,aku ingin merantau merasakan hidup di luar kota kelahiranku
common_voice_id_37048819.wav,mukanya tertutup oleh jelaga
common_voice_id_37048836.wav,kau harus lebih memperhatikan apa yang dia katakan
common_voice_id_30525697.wav,pagi ini temanku memakan buah yang dibeli adikku
common_voice_id_30525698.wav,hidup itu seperti jalan jalan yang panjang
common_voice_id_20483312.wav,aku pernah ingin menjadi seorang astronom fisika
common_voice_id_20483313.wav,saya sedang mencari dompet hitam seperti ini
common_voice_id_20483314.wav,apakah anda pernah makan serangga
common_voice_id_31097533.wav,apakah kamu siap jika diberangkatkan sekarang
common_voice_id_31097534.wav,merusak berarti membeli barang
common_voice_id_31097551.wav,aku rasa tidak
common_voice_id_26571419.wav,orang menebangi pohonpohon disamping jalan
common_voice_id_26571440.wav,saya bosan mendengar hal itu
common_voice_id_26571442.wav,sebagian orang suka kopi sebagian lagi suka teh
common_voice_id_21277605.wav,rencananya kita akan pergi ke estonia bulan depan
common_voice_id_21277606.wav,pak tanaka tinggal di rumah besar
common_voice_id_21277608.wav,itu kelinci yang jahat
common_voice_id_35281925.wav,aku hanya melakukan yang selalu kulakukan
common_voice_id_35281927.wav,aku menyuruh adikku untuk membeli gula di warung
common_voice_id_35281928.wav,tom berlari kembali ke hutan
common_voice_id_30572171.wav,pak tanaka bekerja dengan susah payah
common_voice_id_30572172.wav,kemarin saya menulis surat kepada teman
common_voice_id_30572174.wav,aku menyekakmat lawanku dengan kedua bentengku
common_voice_id_20211965.wav,apakah anda percaya pada tuhan
common_voice_id_20211967.wav,semuanya sedang menunggu guru di kelas
common_voice_id_20211969.wav,anakanak kecil suka dengan buku tentang dinosaurus dan monster
common_voice_id_25008329.wav,perusahaan yang berkembang selalu diikuti dengan perkembangan teknologi didalamnya
common_voice_id_25008331.wav,zlatan sedang menderita cidera siku
common_voice_id_25008332.wav,dia buruburu pulang dari inggris
common_voice_id_27960758.wav,kualitasnya bagus
common_voice_id_27960761.wav,anakanak meniru kebiasaan orang tuanya
common_voice_id_27960764.wav,tom tidak berusaha melindungi dirinya sendiri
common_voice_id_38070895.wav,sudah mulai turun hujan
common_voice_id_38070897.wav,aku sudah tidak tahan dengannya
common_voice_id_38070903.wav,saya mendapat gelas imut dari teman saya
common_voice_id_28290111.wav,darimana saya mendapatkan barang itu
common_voice_id_28290114.wav,kita harus tetap tenang
common_voice_id_28290115.wav,aku tidak tahu artinya kebencian
common_voice_id_24995760.wav,mau kopi atau teh
common_voice_id_24995761.wav,awas lantai licin
common_voice_id_24995762.wav,kurakura adalah reptil
common_voice_id_31482297.wav,saya tidak mengerti bahasa belanda karena sukar
common_voice_id_31482298.wav,pada ketinggian itu cuaca dapat berubah secara cepat tanpa peringatan
common_voice_id_31482300.wav,dia lebih kuat darimu
common_voice_id_25337450.wav,tom melihat kepada mary
common_voice_id_25337451.wav,jepang dan luar negeri bahasanya berbeda
common_voice_id_25337452.wav,saya membeli kalender tahun depan di toserba
common_voice_id_26977742.wav,tom bermain kasti dengan temantemannya setelah selesai sekolah
common_voice_id_26977788.wav,aku berterima kasih padamu
common_voice_id_26977796.wav,bapak budi apakah ada di rumah
common_voice_id_28096568.wav,sebenarnya aku tidak mencintainya
common_voice_id_28096569.wav,muiriel tidak ada pilihan lain dia hanya dengan menerima kekalahannya
common_voice_id_28096577.wav,aku hendak bertanya kepadamu hal yang sama
common_voice_id_33334022.wav,adik perempuan saya menangis di kamar
common_voice_id_33334207.wav,besok saya bermain dengan teman karena ada waktu luang
common_voice_id_33334232.wav,di sini tempat yang sangat ramai
common_voice_id_27858014.wav,negara anda di mana
common_voice_id_27858097.wav,di mana kamu membeli bungabunga itu
common_voice_id_27858104.wav,semua jalan berakhir di roma
common_voice_id_28850148.wav,apakah dia tahan melakukan perjalanan jauh
common_voice_id_28850151.wav,dia lari menyelamatkan diri
common_voice_id_28850177.wav,namanya dikenal oleh semua orang
common_voice_id_25527152.wav,jalanan sepi dari kendaraan
common_voice_id_25527155.wav,saya telah mencoba semuanya namun gagal lagi
common_voice_id_25527156.wav,tom dan mary putus
common_voice_id_24015248.wav,tom memberi mary sekotak coklat
common_voice_id_24015249.wav,bocah itu bernama fadli
common_voice_id_24015250.wav,kompleks perumahan itu jauh sekali
common_voice_id_32790685.wav,makan malam kemarin adalah masakan daging
common_voice_id_32790689.wav,aku akan memakan kamu anak kecil
common_voice_id_32790690.wav,eh ada kupukupu
common_voice_id_31249940.wav,kamu percaya pernyataan saksi itu
common_voice_id_31249954.wav,apakah kamu siswa dari jepang
common_voice_id_31249956.wav,tidak ada orang yang cukup memperhatikan tom
common_voice_id_24016729.wav,terdakwa korupsi itu dituntut hukuman seumur hidup
common_voice_id_24016730.wav,kita ditugaskan untuk membentuk kelompok yang terdiri dari tiga orang
common_voice_id_24016731.wav,apa yang harus saya lakukan jika ingin mengurus paspor di indonesia
common_voice_id_28254914.wav,kemarin saya pergi ke karaoke tetapi tidak banyak menyanyi
common_voice_id_28254939.wav,tom melihat mary pergi ke hutan
common_voice_id_28254940.wav,tom belum tidur sama sekali sejak kemarin lusa
common_voice_id_24983815.wav,kalau sakit dia lama sembuhnya
common_voice_id_24983816.wav,produsen obat ini adalah sebuah perusahaan jepang
common_voice_id_24983817.wav,aku ingat pernah mendengar cerita yang sangat mirip dengan itu
common_voice_id_31910947.wav,apa yang membuatmu ragu untuk menerimanya
common_voice_id_31910959.wav,pak tanaka memakai dasi hijau
common_voice_id_31910986.wav,kalau bukan kampanye namanya apa dong
common_voice_id_24015630.wav,apakah kamu bisa lebih cepat
common_voice_id_24015631.wav,makin lama makin berguna
common_voice_id_24015632.wav,dia menendangku
common_voice_id_23564377.wav,pernah ke amerika
common_voice_id_23564378.wav,kamu tidak harus datang besok
common_voice_id_23564381.wav,apakah kamu pernah mendaki gunung fuji
common_voice_id_25359041.wav,mereka pulang lebih awal
common_voice_id_25359042.wav,saya memasukkan tiga sendok gula dengan sendok
common_voice_id_25359043.wav,kami akan mengadakan sebuah pesta pada malam sabtu
common_voice_id_25359045.wav,dia punya dua kucing
common_voice_id_22888788.wav,saya setiap pagi pergi jalanjalan
common_voice_id_22888793.wav,air mengalir adalah air yang bersih
common_voice_id_22888797.wav,banyak sekali planet sebesar jupiter di bima sakti
common_voice_id_22888800.wav,minggu depan kakak perempuan saya menikah
common_voice_id_24016276.wav,saya baru tahu libya pernah memiliki bendera yang hanya berwarna hijau polos
common_voice_id_24016277.wav,tasku dicuri
common_voice_id_24016278.wav,kebanyakan turis yang datang berasal dari republik rakyat tiongkok
common_voice_id_24016279.wav,aku akan menjemputnya malam ini
common_voice_id_26018174.wav,gereja anglican yang terdaftar sebagai asgarby grade one didedikasikan kepada santo andrew
common_voice_id_26018175.wav,kita harus melakukannya sekarang
common_voice_id_26018176.wav,para pria dan wanita di resepsi di konferensi bisnis
common_voice_id_26018177.wav,banyak tempat beristirahat sempurna lainnya di sepanjang pantai ini yang dapat ditemukan
common_voice_id_24015257.wav,berbagai bahasa daerah dan bahasa asing menjadi bahasa serapan dan kemudian menjadi bahasa indonesia
common_voice_id_24015258.wav,kamu tidak pulang
common_voice_id_24015259.wav,dunia akan melihat kita
common_voice_id_24015261.wav,beritahu dulu keburukannya
common_voice_id_19376535.wav,ini yang dilakukan mary untuk hidup
common_voice_id_19376536.wav,jangan tanya aku
common_voice_id_19376538.wav,minggu depan saat saya pergi ke situ saya akan membeli dan membawa minuman
common_voice_id_19376539.wav,sang menteri menolak memberikan wawancara pada wartawan
common_voice_id_21272933.wav,saya menyukai tantangan
common_voice_id_21272935.wav,saya makan kue yang saya dapat dari pak tanaka
common_voice_id_21272936.wav,saya mengajar bahasa jepang kepada orang asing
common_voice_id_21272937.wav,besok saya pergi ke paris
common_voice_id_37022569.wav,jangan biarkan apapun memperlambat jalanmu
common_voice_id_37022582.wav,muridmurid tidak ingat apa yang telah mereka baca di buku tersebut
common_voice_id_37022588.wav,dia hidup dengan bahagia
common_voice_id_37022605.wav,anggur adalah pencemooh minuman keras adalah pembuat ribut dan siapa disesatkan olehnya tidaklah berhikmat
common_voice_id_24016183.wav,apa yang bisa saya berikan kepadamu
common_voice_id_24016184.wav,nasi goreng kambing di kampung itu enak sekali
common_voice_id_24016186.wav,tidak ada sesuatu yang tidak mungkin
common_voice_id_24016187.wav,kakak perempuanku masih hafal lagulagu avril
common_voice_id_21553536.wav,tidak ada jalan yang mudah untuk belajar
common_voice_id_21553538.wav,aku ingin mati
common_voice_id_21553542.wav,kamu bisa di sini terus asalkan kamu tetap diam
common_voice_id_21553544.wav,saya bekerja di sini saya bukanlah seorang tamu
common_voice_id_19611907.wav,besok saya akan menelepon pak lee
common_voice_id_19611908.wav,tuhan dan iblis itu mengagumkan
common_voice_id_19611909.wav,saya bukan gay tapi pacar saya gay
common_voice_id_19611910.wav,karena sakit kepala malam ini saya tidur awal
common_voice_id_24441322.wav,gubuk itu dibakar
common_voice_id_24441323.wav,saya setiap pagi makan satu buah telur
common_voice_id_24441324.wav,kami menggunakan kaki kami untuk berjalan
common_voice_id_24441325.wav,saya akan menunggu di sini sampai dia datang
common_voice_id_39667255.wav,dia mungkin lelah menunggu dan tertidur
common_voice_id_39667259.wav,pulau itu tertutup es dan salju selama musim dingin
common_voice_id_39667262.wav,ruangan ini terlalu sempit untuk kami
common_voice_id_39667273.wav,satu hari itu sangat singkat
common_voice_id_24510886.wav,mulai besok saya akan belajar huruf kanji tiap hari
common_voice_id_24510887.wav,rumahku menghadap ke laut
common_voice_id_24510888.wav,jangan berbuat hal konyol
common_voice_id_24510889.wav,kapan agenda pertemuan ku selanjutnya
common_voice_id_19773606.wav,awas ada truk lewat
common_voice_id_19773607.wav,kiamat sudah dekat
common_voice_id_19773609.wav,saya pikir itu ide yang bagus
common_voice_id_19773611.wav,dia berkata pada dirinya sendiri aku pasti bisa
common_voice_id_25527101.wav,hari ulang tahun saya tanggal dua puluh enam agustus
common_voice_id_25527189.wav,ini kok nggak bisa ya
common_voice_id_25527202.wav,hewan dan tumbuhan hidup di planet ini
common_voice_id_25527203.wav,saya membeli baju yang lebih murah
common_voice_id_26008523.wav,sejumlah besar pria mempelajari taurat dengan penuh waktu
common_voice_id_26008524.wav,saya sangat tertarik dengan alamatnya
common_voice_id_26008525.wav,apa yang anda lakukan padanya
common_voice_id_26008526.wav,dia kemudian memulai agen kecilnya sendiri
common_voice_id_24015698.wav,kamu tahu tidak
common_voice_id_24015699.wav,hubungan diplomatik kedua negara itu sedang panas
common_voice_id_24015700.wav,saya sedang makan nasi padang
common_voice_id_24015701.wav,lamalama dia kehilangan kesabaran
common_voice_id_19597202.wav,tom telah digigit oleh seekor ular
common_voice_id_19597203.wav,umur dia hampir empat puluh tahun
common_voice_id_19597204.wav,namun akhirnya apa yang kamu lakukan
common_voice_id_19597205.wav,tidak semua buku yang di atas meja miliki saya
common_voice_id_24142791.wav,ayah ingatkan bahwa kamu seharusnya sudah bisa bertindak dewasa
common_voice_id_24142792.wav,pak sofyan orangnya tidak suka marahmarah
common_voice_id_24142793.wav,enak nggak makanannya
common_voice_id_24142794.wav,sepertinya kamu akan mendapatkan perkerjaan yang kamu impikan selama ini
common_voice_id_25396145.wav,saya ingin ke pasar di hari minggu pagi
common_voice_id_25396146.wav,dia bercerai dari suaminya
common_voice_id_25396147.wav,lampu lalulintas digunakan untuk mengatur lalu lintas
common_voice_id_25396148.wav,di kamar mandi tidak ada sabun
common_voice_id_24015267.wav,kami tidak tahu bahwa jadwal dokter gigi itu libur disaat hari rabu
common_voice_id_24015268.wav,ibu sedang tidak ada di rumah
common_voice_id_24015269.wav,cek saldo
common_voice_id_24015271.wav,vladimir merupakan seorang turis asal rusia
common_voice_id_20953154.wav,pengeras suara itu sedang diperbaiki
common_voice_id_20953161.wav,dia terlihat bahagia
common_voice_id_20953361.wav,di kamar saya ada meja tempat tidur televisi dan lainlain
common_voice_id_20953364.wav,tom hampir saja terbunuh
common_voice_id_20589579.wav,tidak tidak pedas
common_voice_id_20589581.wav,dia buruburu pulang dari inggris
common_voice_id_20589584.wav,senin depan libur
common_voice_id_20589586.wav,ya sepertinya ada salah diagnosa
common_voice_id_20287820.wav,satu hal bagi lelaki yang sudah menikah adalah jangan pernah melupakan hari perayaan pernikahan
common_voice_id_20287821.wav,pak basri mencintai istrinya
common_voice_id_20287823.wav,tom mampu berenang dengan baik
common_voice_id_20287824.wav,bungabunga ini sudah mati
common_voice_id_25414376.wav,bagaimana perasaanmu sekarang tom
common_voice_id_25414380.wav,keretanya di sini
common_voice_id_26568393.wav,siapa yang terbaik dia lah yang layak menjadi pemenang
common_voice_id_26568399.wav,kapal itu mengibarkan bendera amerika
common_voice_id_27627427.wav,apa yang bisa saya berikan kepadamu
common_voice_id_27627462.wav,suami ibu kobayashi bekerja di rumah sakit
common_voice_id_27627466.wav,dia dikuburkan di kota kelahirannya
common_voice_id_27627474.wav,sebuah artikel tentang sekolah kita muncul di koran
common_voice_id_27600432.wav,apakah anda bisa memproduksi obatobatan dari laboratorium
common_voice_id_27600435.wav,selamat siang permisi saya mencari loretta
common_voice_id_27600453.wav,saya membeli oleholeh untuk keluarga
common_voice_id_27600456.wav,sampai ketemu besok
common_voice_id_21692642.wav,sesuatu yang mengerikan telah terjadi
common_voice_id_21692644.wav,pertanyaannya sesulit itu hingga tiada siapapun mampu menjawabnya
common_voice_id_21692645.wav,ibu dan ayah saya tidak di rumah sekarang
common_voice_id_21692646.wav,sabang adalah kota paling barat di indonesia
common_voice_id_26013879.wav,ia menerbitkan informasi resmi hukum utama dari pemerintah nasional prancis
common_voice_id_26013880.wav,mobil biru gelap melewati jalan berlumpur dan membuat cipratan ke samping
common_voice_id_26013881.wav,pemerintah prancis dan belgia akan menyerah
common_voice_id_26013883.wav,dia menyelesaikan kalimatnya dengan tenang
common_voice_id_22650888.wav,delapan
common_voice_id_22650889.wav,tujuh
common_voice_id_22650891.wav,sembilan
common_voice_id_22650893.wav,tiga
common_voice_id_23784531.wav,dia belum datang
common_voice_id_23784532.wav,membaca buku itu tidak membosankan
common_voice_id_23784534.wav,jimmy terbiasa diolokolok temantemannya
common_voice_id_23784535.wav,apakah ada perbedaan
common_voice_id_25038175.wav,kamus identik dengan tebal berat dan mahal
common_voice_id_25038176.wav,pak kobayashi tinggal di kota yang orangnya banyak
common_voice_id_25038178.wav,empat kata perbaris
common_voice_id_25038179.wav,tidak ada anak lakilaki di kelas yang lebih tinggi dari bill
common_voice_id_24585625.wav,saya belajar sejak tahun lalu
common_voice_id_24585626.wav,bagaimana kalau minuman
common_voice_id_24585627.wav,saya menyeberang perempatan itu dan belok kiri
common_voice_id_24585629.wav,kamu mau minum apa
common_voice_id_25537481.wav,ketika saya sedang makan malam teman saya datang ke rumah
common_voice_id_25537987.wav,bahkan tom sedikit terkejut
common_voice_id_25537988.wav,terima kasih
common_voice_id_25544269.wav,lalu lintas jakarta selatan di hari senin pagi biasanya macet
common_voice_id_26954949.wav,apa yang orang tersebut katakan
common_voice_id_26954955.wav,dapatkah saya berbicara denganmu sebentar tom
common_voice_id_26955391.wav,semua orang memerlukan tempat yang disebut rumah
common_voice_id_26955394.wav,budayakan pemakaian kendaraan elektrik di indonesia
common_voice_id_24851693.wav,saya pergi ke sekolah
common_voice_id_24851694.wav,forum tata kelola internet indonesia
common_voice_id_24851695.wav,saya sering menonton film dan pergi ke kolam renang bersama teman
common_voice_id_24851696.wav,saya harus tidur
common_voice_id_23583178.wav,pernah ke amerika
common_voice_id_23583179.wav,aku bisa hidup tanpa air
common_voice_id_23583180.wav,kamu di mana
common_voice_id_23583182.wav,aku tidak bermaksud menyakitimu
common_voice_id_35113330.wav,silakan dimakan
common_voice_id_35113331.wav,di sini lantai dua
common_voice_id_35113358.wav,tom berjongkok untuk menaruh sesuatu di rak bawah
common_voice_id_35113458.wav,karena saya sudah mengambil banyak foto saya tidak ada film lagi
common_voice_id_35113476.wav,novel barunya akan terbit bulan depan
common_voice_id_24041234.wav,memisahkan sampah itu wajib
common_voice_id_24041235.wav,kehidupanku berlanjut seperti biasa kurang lebih enam bulan lamanya
common_voice_id_24041236.wav,kenapa kamu tidak datang malam minggu kemarin
common_voice_id_24041237.wav,gubuk itu dibakar
common_voice_id_24041238.wav,ada yang harus kukatakan
common_voice_id_24015277.wav,bisa membantu yang lain
common_voice_id_24015278.wav,dia tidak mampu melakukannya
common_voice_id_24015279.wav,kalau saja aku bertanya padanya dia akan memberitahuku yang sebenarnya
common_voice_id_24015280.wav,apa yang bisa saya berikan kepadamu
common_voice_id_24015281.wav,pak tanaka mencari nafkah dengan membuka toko alat tulis di dekat stasiun
common_voice_id_21425448.wav,dia tidak realistik
common_voice_id_21425449.wav,apakah bisa menelepon ke luar negeri dengan telepon itu
common_voice_id_21425450.wav,aku ingin kembali ke desamu
common_voice_id_21425451.wav,tom berjanji padaku bahwa dia tidak akan melakukan hal itu lagi
common_voice_id_21425452.wav,tidak boleh menggunakan pisau karena berbahaya
common_voice_id_19080908.wav,aku sedang berbicara dengan muridku
common_voice_id_19080909.wav,tidak banyak kendaraan yang melintas
common_voice_id_19080910.wav,tiada kata terlambat untuk belajar
common_voice_id_19080911.wav,pulang pergi hanya sekali jalan
common_voice_id_19080912.wav,dia ingin menjadi seorang penyanyi
common_voice_id_19450098.wav,dia naik taksi ke museum
common_voice_id_19450099.wav,lebih baik aku mati daripada aku pergi
common_voice_id_19450100.wav,omongomong malam ini ada waktu
common_voice_id_19450101.wav,besok saya bertemu dengan teman di stasiun dan bersamasama pergi ke konser
common_voice_id_19450102.wav,jane terlihat bahagia
common_voice_id_24606479.wav,kalau tidak suka boleh berhenti
common_voice_id_24606480.wav,sore hari ini ayahku ada waktu luang
common_voice_id_24606481.wav,bahasa jepang adalah bahasa ibu kita
common_voice_id_24606482.wav,indonesia adalah negara terbesar di dunia yang terletak hanya di pulau
common_voice_id_24606483.wav,naples adalah kota yang indah
common_voice_id_24016087.wav,komodo merupakan satwa langka
common_voice_id_24016088.wav,dia ingin sekali ke swedia
common_voice_id_24016089.wav,kecelakaan pesawat itu menewaskan banyak korban jiwa
common_voice_id_24016090.wav,pernah ke meksiko
common_voice_id_24016091.wav,saya tidak pernah tidur siang setiap hari
common_voice_id_25963706.wav,mcpeak dan istrinya elynor saat ini tinggal di danau oswego oregon
common_voice_id_25963707.wav,hodges meninggalkan band tak lama sebelum album pertama mereka direkam
common_voice_id_25963708.wav,meta analisis menemukan hubungan signifikan antara lemak yang tersaturasi dan tingkat kolesterol serum
common_voice_id_25963709.wav,fakta bahwa kau dapat menulis persamaan dengan caramu tidak berarti kau harus melakukannya
common_voice_id_25963710.wav,tamala telah berkolaborasi dengan legenda punkrock los angeles exene cervenka dan phranc
common_voice_id_19635470.wav,pesawat terbang cepat dan praktis
common_voice_id_19635472.wav,saya ingin main
common_voice_id_19635476.wav,di kelas ada meja dan kursi
common_voice_id_19635479.wav,saya menelepon rumah tetapi tidak ada siapasiapa
